Team,Player,Position,GW,OPP,Home/Away,Result,Score,PTS,G,A,SOT,CC,SCR,STO,CS,INT,TW,PS,SV,AER,CLR,DIS,OG,GC,YC,RC
Arsenal,Hector Bellerin,Def,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Hector Bellerin,Def,2,CRY,H,W,1-2,8,0,0,0,1,1,1,0,1,3,0,0,1,4,1,0,1,0,0
Arsenal,Hector Bellerin,Def,3,LIV,A,D,0-0,14.75,0,0,0,0,0,1,1,6,1,0,0,0,3,0,0,0,0,0
Arsenal,Hector Bellerin,Def,4,NEW,H,W,0-1,15,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0
Arsenal,Laurent Koscielny,Def,1,WHU,A,L,0-2,9,0,0,0,0,0,0,0,3,1,0,0,8,4,0,0,2,0,0
Arsenal,Laurent Koscielny,Def,2,CRY,H,W,1-2,12.25,0,0,0,0,0,1,0,4,2,0,0,6,5,0,0,1,0,0
Arsenal,Laurent Koscielny,Def,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Laurent Koscielny,Def,4,NEW,H,W,0-1,12.25,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0
Arsenal,Gabriel Armando de Abreu,Def,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Gabriel Armando de Abreu,Def,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Gabriel Armando de Abreu,Def,3,LIV,A,D,0-0,13.5,0,0,0,0,0,0,1,2,3,0,0,4,6,0,0,0,1,0
Arsenal,Gabriel Armando de Abreu,Def,4,NEW,H,W,0-1,16,0,0,0,0,0,0,1,3,2,0,0,4,4,0,0,0,0,0
Arsenal,Calum Chambers,Def,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Calum Chambers,Def,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Calum Chambers,Def,3,LIV,A,D,0-0,18.25,0,0,0,0,0,1,1,2,1,0,0,6,9,0,0,0,0,0
Arsenal,Calum Chambers,Def,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
